epoch,accuracy,loss,val_accuracy,val_loss
0,0.3930251896381378,1.3182026147842407,0.48414984345436096,1.2619954347610474
1,0.6722944974899292,0.9509409070014954,0.6657060384750366,0.922266960144043
2,0.8043177127838135,0.5653282403945923,0.7175792455673218,0.7575023174285889
3,0.8546913862228394,0.4127142131328583,0.729106605052948,0.7704952359199524
4,0.8815388679504395,0.32813912630081177,0.6945244669914246,0.8093929886817932
5,0.9056186079978943,0.27230796217918396,0.6829971075057983,0.8468796014785767
6,0.92637699842453,0.22963185608386993,0.6743515729904175,0.9028195142745972
7,0.9344035387039185,0.1980179250240326,0.6714697480201721,0.9841001629829407
8,0.949349582195282,0.16575442254543304,0.6628242135047913,1.020077109336853
9,0.9568225741386414,0.13913597166538239,0.6829971075057983,1.093035101890564
10,0.9626349210739136,0.13057491183280945,0.6743515729904175,1.1284434795379639
11,0.9645723700523376,0.11817560344934464,0.680115282535553,1.183119773864746
12,0.9670633673667908,0.11037708073854446,0.6657060384750366,1.2558262348175049
13,0.9678937196731567,0.09742487221956253,0.6887608170509338,1.3155533075332642
14,0.971491813659668,0.0944877341389656,0.6772334575653076,1.3477723598480225
15,0.972875714302063,0.0877850353717804,0.6657060384750366,1.302193284034729
16,0.9745364189147949,0.08589114248752594,0.6858789920806885,1.3173847198486328
17,0.9759202599525452,0.0761592835187912,0.6858789920806885,1.3582088947296143
18,0.9778577089309692,0.072860948741436,0.6858789920806885,1.4297151565551758
19,0.9745364189147949,0.07490290701389313,0.6887608170509338,1.452862024307251
20,0.975089967250824,0.07243815809488297,0.6887608170509338,1.4187231063842773
21,0.9767506122589111,0.06989718973636627,0.6974063515663147,1.4939230680465698
22,0.9786880612373352,0.0673571452498436,0.6916426420211792,1.51338529586792
23,0.9795184135437012,0.0610925666987896,0.6858789920806885,1.5100096464157104
24,0.9778577089309692,0.06339666247367859,0.6916426420211792,1.5758283138275146
